SentimentDevice,SalesDevice
DELL UNKNOWN,DELL LATITUDE 5420 RUGGED
HP S01 DESKTOP,HP 245
HP N01 DESKTOP,HP 245
HP TP01 DESKTOP,HP 245
HP G9 DESKTOP,HP SPLIT X2
HP WORKSTATION G9 DESKTOP,HP 245
HP SLIM S01 DESKTOP,HP 245
HP N01 DESKTOP ,HP 245
HP S01 SLIM DESKTOP,HP 245
HP Z1 G9 DESKTOP,HP 245
DELL POWEREDGE DESKTOP,DELL OPTIPLEX
HP XIAOOU DESKTOP,HP ELITEBOOK FOLIO
HP M01 DESKTOP,HP STREAM
HP DESKTOP M01,HP STREAM
HP TE01 DESKTOP,HP ELITE
HP PRODESK DESKTOP,HP PROBOOK 4540S
ACER FUTURE DESKTOP,ACER ONE 10
ACER SQX DESKTOP,ACER ONE 10
ACER N90 DESKTOP,ACER ONE 10
ACER N99 DESKTOP,ACER ONE 10
ACER SHANGQI DESKTOP,ACER ONE 10
ACER N4270 DESKTOP,ACER ONE 10
ACER N4288 DESKTOP,ACER ONE 10
ACER SQX4270 DESKTOP,ACER ONE 10
ACER DKZHAN DESKTOP,ACER ONE 10
ACER X2670 DESKTOP,ACER ONE 10
ACER SHADOW KNIGHT DESKTOP,ACER ASPIRE V NITRO
DELL T150 DESKTOP,DELL OPTIPLEX
HP 288 DESKTOP,HP LAPTOP 14
ACER SQ DESKTOP,ACER ASPIRE 3 SPIN
HP SLIM DESKTOP,HP ELITEBOOK FOLIO
ACER CHROMEBOX CXI3,CHROMEBOOK
DELL T40 DESKTOP,DELL OPTIPLEX
HP XIAOOU AIO 24,HP PRO X2 612
HP 280G9 DESKTOP,HP 200 SERIES
HP SLIM TOWER DESKTOP,HP ELITE
HP DESKTOP,HP ELITE
HP DESKTOP 22,HP LAPTOP 14
HP 840 G9 AIO 23 ,HP ELITE C640 G3
ACER MINI DESKTOP,ACER ASPIRE 3 SPIN
ACER SQN4 DESKTOP,ACER ASPIRE 3 SPIN
ACER VERO DESKTOP,ASPIRE VERO
DELL DESKTOP,DELL VOSTRO 3420
HP CHROMEBASE AIO 21.5,HP CHROMEBOOK
ACER SCX DESKTOP,ACER SWITCH ONE
APPLE IMAC PRO 27,MACBOOK PRO 17
ACER VB DESKTOP,ACER ASPIRE V NITRO
ACER SQN DESKTOP,ACER ASPIRE 3 SPIN
HP 455 G9 15,HP ZBOOK FURY 15 G8
HP 470 G9 17,HP PAVILION GAMING 17
HP 435 G8 13,HP ZBOOK FURY 15 G8
ACER DESKTOP,ACER SWITCH ONE
HP 290 DESKTOP,HP 200 SERIES
ACER TC DESKTOP,ACER SWITCH ONE
ACER EXTRAORDINARY S3X PRO 14,SWIFT 5 PRO 14
ACER XC DESKTOP,ACER SWITCH ONE
HP AIO ,HP PAVILION G7
HP ALL-IN-ONE 24,HP PAVILION G7
HP CHROMEBASE AIO 21,HP CHROMEBOOK
HP CHROMEBASE AIO 22,HP CHROMEBOOK
ACER EXTRAORDINARY GO PRO 14,ACER SWIFT GO 16
DELL AURORA R 15 DESKTOP,DELL XPS 15 9530
HP AIO 23,HP PAVILION G7
HP AIO 22,HP PAVILION G7
ACER YOUYUE PRO 14,ACER ONE 10
ACER VERO AIO 24,ACER NITRO 16
ACER VERO 514 14,ACER NITRO 16
HP 440 G8 14,HP ZBOOK 14
HP 247 G8 14,HP ZBOOK 14
HP STAR 14S 14,HP ZBOOK 14
HP DRANGONFLY PRO 14,HP PRO X2 612
HP 288 PRO DESKTOP,HP PRO X2 612
ACER P50 15,ACER ONE 10
HP CELERON 14,HP LAPTOP 14
ACER YOUYUE AIR 14,ACER NITRO 16
ACER EXTREME GO 14,ACER SWIFT GO 16
ACER LAPTOP 14,ACER NITRO 16
ACER AIO 24,ACER NITRO 16
ACER CHROMEBOX,CHROMEBOOK
DELL G 15 15.6,DELL INSPIRON 15 7000
DELL 3000 DESKTOP,DELL VOSTRO 3420
DELL AIO 27,DELL LATITUDE E5270
HP AIO 24,HP LAPTOP 14
HP AIO 21,HP LAPTOP 14
HP AIO 31,HP LAPTOP 14
HP AIO 19,HP LAPTOP 14
HP AIO 20,HP X2 210
HP 24 AIO ,HP LAPTOP 14
DELL LAPTOP 14,DELL LATITUDE 3140
HP AIO 27,HP PAVILION G7
HP AIO 27 ,HP PAVILION G7
HP 247 G8 ,HP ZBOOK FURY 15 G8
HP 255 15,HP ZBOOK FURY 15 G8
ACER VERO 14,ACER NITRO 16
ACER YOUYUE 14,ACER ONE 10
ACER VERO 15,ACER NITRO 16
ACER VERO  15,ACER NITRO 16
HP PHANTOM 15,HP LAPTOP 15
HP STAR 14,HP STREAM 13
HP STAR 15,HP STREAM 13
HP DRAGONFLY PRO 14,ELITE DRAGONFLY
ACER CONCEPT D EZEL 14,ACER CONCEPTD 7
ACER ONECORE 14,ACER ONE 10
ACER EXTRAORDINARY GO 16,ACER SWIFT GO 16
HP G7 14,HP ZBOOK FURY 15 G7
ACER TABLET 1 10,ACER ONE 10
ACER A10 10,ACER ONE 10
ACER PREDAOR HELIOS NEO 16,ACER PREDATOR HELIOS 700
HP 255 G7 15,HP ZBOOK FURY 15 G7
HP 255 G8 15,HP ZBOOK FURY 15 G8
HP 470 G8 17,HP ZBOOK FURY 17 G8
HP 225 G8 15,HP ZBOOK FURY 15 G8
ACER SWITFT 1 14,ACER SWIFT GO 16
HP STAR 13,HP STREAM 13
MICROSOFT SURFACE 4 13,SURFACE GO
MICROSOFT SURFACE 4 15,SURFACE GO
