SentimentDevice,SalesDevice
ASUS TUF GAMING 15,TUF
HP LAPTOP 15,HP LAPTOP 15
HP PAVILION 15,PAVILION
DELL INSPIRON 3000 15,INSPIRON 3000
ACER ASPIRE 5 15,ASPIRE 5
ACER NITRO 5 15,NITRO 5
ACER ASPIRE 3 15,ASPIRE 3
ACER SWIFT 3 14,SWIFT 3
DELL INSPIRON 3000 14,INSPIRON 3000
HP LAPTOP 14,HP LAPTOP 14
HP STREAM 14,STREAM
HP LAPTOP 17,HP LAPTOP 17
DELL XPS 15,XPS 15
ASUS VIVOBOOK S 15,VIVOBOOK
HP STREAM 11,STREAM
HP PAVILION 17,PAVILION
DELL INSPIRON 15,INSPIRON
LENOVO THINKPAD X1 CARBON 14,THINKPAD X
ASUS VIVOBOOK 15,VIVOBOOK
HP ENVY 17,ENVY
HP PAVILION 14,PAVILION
ASUS VIVOBOOK 14,VIVOBOOK
LENOVO IDEAPAD 15,IDEAPAD
DELL INSPIRON 15,INSPIRON | DESKTOP
ACER PREDATOR HELIOS 300 15,PREDATOR
ASUS ZENBOOK 14,ZENBOOK
ASUS ZENBOOK 15,ZENBOOK
ASUS ZENBOOK S 13,ZENBOOK
ASUS ZENBOOK DUO 14,ZENBOOK
ASUS ZENBOOK FLIP 14,ZENBOOK
HP PAVILION X360 14,PAVILION X360
HP SPECTRE X360 13,SPECTRE
DELL INSPIRON 5000 14,INSPIRON 5000
DELL XPS 13,XPS 13
DELL INSPIRON 14,INSPIRON
MICROSOFT SURFACE PRO 7 12,SURFACE PRO
HP ENVY X360 15,ENVY X360
MICROSOFT SURFACE GO 10,SURFACE GO
ASUS VIVOBOOK PRO 15,VIVOBOOK PRO
LENOVO IDEAPAD FLEX 5 14,IDEAPAD FLEX
ASUS VIVOBOOK FLIP 14,VIVOBOOK FLIP
ASUS ZENBOOK PRO 15,ZENBOOK
LENOVO THINKPAD YOGA 11E,THINKPAD YOGA
LENOVO FLEX 11,FLEX
HP ENVY DESKTOP,ENVY | DESKTOP
ASUS LAPTOP 15,ASUS LAPTOP
ASUS VIVOBOOK 11,VIVOBOOK
HP LAPTOP 17,HP LAPTOP 17 | AIO
LENOVO GAMING DESKTOP,DESKTOP | DESKTOP
LENOVO IDEAPAD 14,IDEAPAD
LENOVO GAMING LAPTOP,LENOVO GAMING
ASUS ROG STRIX 17,ROG STRIX
HP NOTEBOOK 15,NOTEBOOK
LENOVO THINKPAD X1 14,THINKPAD X
LENOVO THINKPAD YOGA X1 14,THINKPAD YOGA
ACER ASPIRE 1 15,ASPIRE 1
ASUS VIVOBOOK 17,VIVOBOOK
MICROSOFT SURFACE LAPTOP 3 13,SURFACE LAPTOP
ACER ASPIRE 3 14,ASPIRE 3
ACER NITRO 17,NITRO
ASUS ZENBOOK PRO DUO 15,ZENBOOK
DELL INSPRION 3000 11,ION
LENOVO YOGA C740 15,YOGA 1
ASUS LAPTOP 11,ASUS LAPTOP
ACER NITRO 5 17,NITRO 5
LENOVO LAPTOP 14,LENOVO LAPTOP 14
ASUS ROG STRIX G 17,ROG STRIX
HP ENVY X360 14,ENVY X360
LENOVO IDEAPAD FLEX 5 15,IDEAPAD FLEX
LENOVO IDEAPAD 1 14,IDEAPAD 1
ASUS ROG ZEPHYRUS G14 14,ROG ZEPHYRUS
ASUS ROG STRIX G15 15,ROG STRIX
MICROSOFT SURFACE GO 2 10,SURFACE GO
ASUS ZENBOOK DUO 15,ZENBOOK
LENOVO LEGION 5 15,LEGION
LENOVO IDEAPAD SLIM 3 15,IDEAPAD SLIM
DELL PRECISION 3000 15,PRECISION
LENOVO IDEAPAD 3 15,IDEAPAD 3
ASUS VIVOBOOK 13,VIVOBOOK
LENOVO IDEAPAD 3 14,IDEAPAD 3
ASUS ROG ZEPHYRUS 14,ROG ZEPHYRUS
HP OMEN 16,OMEN
ASUS ROG STRIX G17 17,ROG STRIX
LENOVO V14 14,V14
LENOVO V15 15,V15
ACER NITRO 5 15,NITRO | DESKTOP
DELL G15 5000 15,G15
ASUS ROG ZEPHYRUS DUO 16,ROG ZEPHYRUS
ASUS E410 14,ASUS E SERIES
DELL G15 15,G15
LG GRAM 16,GRAM
LG GRAM 17,GRAM
MICROSOFT SURFACE LAPTOP GO 12,SURFACE LAPTOP
SAMSUNG GALAXY BOOK GO 14,GALAXY BOOK
MSI KATANA 15,KATANA
ASUS ROG STRIX SCAR 16,ROG STRIX
MSI CYBORG 15,CYBORG
MSI THIN GF63 15,THIN
ASUS VIVOBOOK PRO 16X  16,VIVOBOOK PRO
SAMSUNG GALAXY BOOK 3 PRO 360 16,GALAXY BOOK
ACER SWIFT GO 14,SWIFT GO
ASUS VIVOBOOK 16,VIVOBOOK
ASUS VIVOBOOK PRO 14,VIVOBOOK PRO
LENOVO LAPTOP 15,LENOVO LAPTOP 15
LENOVO YOGA 9I 14,YOGA 9
LENOVO YOGA 7I 14,YOGA 7
LENOVO YOGA 6 13,YOGA 6
LENOVO IDEAPAD 3 17,IDEAPAD 3
HP VICTUS 15,VICTUS
HP VICTUS 16,VICTUS
ASUS TUF GAMING A17 17,TUF
ASUS TUF GAMING A15 15,TUF
DELL XPS 17,XPS 17
ACER ASPIRE 5 15,ASPIRE
LENOVO IDEAPAD GAMING 3 15,IDEAPAD GAMING
SAMSUNG GALAXY TAB S7 FE 12,TABLET
ACER NITRO 16,NITRO
ACER SWIFT X 14,SWIFT
LG GRAM 14,GRAM
LENOVO THINKPAD P14S 14,THINKPAD P
ACER SWIFT EDGE 16,SWIFT
DELL G16 16,G16
SAMSUNG GALAXY BOOK2 PRO 15,GALAXY BOOK
ASUS TUF GAMING F15 15,TUF
DELL ALIENWARE X15 R2 15,ALIENWARE
LENOVO V14 14,LENOVO V SERIES | DESKTOP
DELL INSPIRON 16,INSPIRON
ASUS ZENBOOK PRO 14,ZENBOOK
ASUS PROART STUDIOBOOK 16,PROART
DELL ALIENWARE M15 R7 15,ALIENWARE
ASUS TUF GAMING F15,TUF
RAZER BLADE 15,RAZER BLADE
LENOVO THINKPAD YOGA L13 13,THINKPAD YOGA
LENOVO LEGION 16,LEGION
LENOVO IDEAPAD 3I 15,IDEAPAD 3
HP OMEN 14,OMEN
HP ENVY 16,ENVY
LENOVO V15 15,LENOVO V SERIES | DESKTOP
DELL INSPIRON 3501 15,INSPIRON 3000
DELL ALIENWARE M17 R5 17,ALIENWARE
ASUS L510 15,ASUS L SERIES
ASUS L210 11,ASUS L SERIES
LENOVO IDEAPAD 1 15,IDEAPAD 1
SAMSUNG GALAXY BOOK3 16,GALAXY BOOK
ASUS ROG STRIX G15  15,ROG STRIX
MSI GAMING 15,UNDEFINED
ACER PREDATOR HELIOS NEO 16,PREDATOR
LG GRAM 15,GRAM
ASUS VIVOBOOK PRO 16,VIVOBOOK PRO
HP ENVY X360  15,ENVY X360
ASUS VIVOBOOK  16,VIVOBOOK
HP OMEN  15,OMEN
DELL ALIENWARE M18 18,ALIENWARE
DELL ALIENWARE M16 16,ALIENWARE
DELL INSPIRON 3000  15,INSPIRON 3000
ASUS VIVOBOOK GO 14,VIVOBOOK
HP LAPTOP 17T 17,HP LAPTOP 17
LENOVO SLIMPRO 9I 14,SLIM PRO 9
MICROSOFT SURFACE PRO 9 13,SURFACE PRO
ACER PREDATOR HELIOS 16,PREDATOR
LENOVO IDEAPAD FLEX 5  14,IDEAPAD FLEX
HP LAPTOP  15,HP LAPTOP 15
HP LAPTOP  17,HP LAPTOP 17
ASUS ROG FLOW X13 13,ROG FLOW
ASUS TUF DASH 15,TUF
ASUS ROG ZEPHYRUS M16 16,ROG ZEPHYRUS
ASUS ROG STRIX SCAR 15,ROG STRIX
ASUS TUF GAMING F17 17,TUF
DELL INSPIRON 15 3000,INSPIRON 3000
MICROSOFT SURFACE LAPTOP 4 13,SURFACE LAPTOP
MICROSOFT SURFACE LAPTOP 4 15,SURFACE LAPTOP
DELL XPS PLUS 13,XPS
ASUS ROG 16,ROG
MSI BRAVO 15,BRAVO
DELL INSPIRON 7000 14 PLUS,INSPIRON PLUS
ACER PREDATOR HELIOS 18,PREDATOR
HP ELITEBOOOK G7 14,ELITE
LENOVO YOGA 7I 16,YOGA 7
DELL ALIENWARE X16 16,ALIENWARE
LENOVO IDEAPAD 1  14,IDEAPAD 1
ASUS VIVOBOOK GO 12,VIVOBOOK
HP STREAM  14,HP STREAM
HP STREAM  17,HP STREAM
MICROSOFT SURFACE LAPTOP 5 15,SURFACE LAPTOP
